Time: 2018-08-14 00:10:33
Path of this file: /Users/audrey/GitProjects_2016/Projects/DeveloperVersion/lxa5/linguistica_wordvec/datasets/lxa_outputs/stems_to_signatures.txt

System info:
=============================================
System: Darwin
Node: audreyxvi.local
Release: 17.5.0
Version: Darwin Kernel Version 17.5.0: Mon Mar  5 22:24:32 PST 2018; root:xnu-4570.51.1~1/RELEASE_X86_64
Machine: x86_64
Processor: i386
Python version: 3.5.2

Packages:
=============================================
Linguistica 5.1.0-dev
SciPy 0.19.1
NumPy 1.13.1
NetworkX 1.11

Linguistica parameters:
=============================================
{'keep_case': 0,
 'max_affix_length': 4,
 'max_word_tokens': 0,
 'max_word_types': 7000,
 'min_context_count': 3,
 'min_sig_count': 5,
 'min_stem_length': 4,
 'n_eigenvectors': 6,
 'n_neighbors': 9,
 'suffixing': 1}

Input file information:
=============================================
Path: /Users/audrey/GitProjects_2016/Projects/DeveloperVersion/lxa5/linguistica_wordvec/datasets/english-brown.txt
Number of word types: 48781
Number of word tokens: 1145632

Results:
=============================================
Stems to signatures

\begin{tabular}{lll}
\toprule
Index      & Stems           & Signatures \\
5888       & mourne          & d/rs \\
5889       & mournful        & NULL/ly \\
5890       & mouthpiece      & NULL/s \\
5891       & movement        & NULL/s \\
5892       & movie           & NULL/s \\
5893       & moving          & NULL/ly \\
5894       & mozart          & 's/NULL \\
5895       & muffl           & ed/er/ing \\
5896       & muffle          & d/r \\
5897       & mulch           & NULL/ing \\
5898       & mule            & NULL/s \\
5899       & mulligan        & 's/NULL \\
5900       & mullin          & g/s \\
5901       & multicolor      & NULL/ed \\
5902       & multiplie       & d/s \\
5903       & multiply        & NULL/ing \\
5904       & multitude       & NULL/s \\
5905       & mumbl           & e/ed/ing \\
5906       & mumble          & NULL/d \\
5907       & munch           & NULL/ed/ing \\
5908       & mundt           & 's/NULL \\
5909       & munich          & 's/NULL \\
5910       & municipal       & NULL/ity/ly \\
5911       & municipalit     & ies/y/y's \\
5912       & municipality    & 's/NULL \\
5913       & murdere         & d/r/r's/rs \\
5914       & murderer        & 's/NULL/s \\
5915       & murmur          & NULL/ed/ing \\
5916       & murphy          & 's/NULL \\
5917       & murray          & 's/NULL \\
5918       & musc            & le/les/ular \\
5919       & museum          & NULL/s \\
5920       & mushroom        & NULL/ing/s \\
5921       & musician        & 's/NULL/s/ship \\
5922       & musicians       & NULL/hip \\
5923       & musing          & NULL/s \\
5924       & musket          & NULL/s \\
5925       & muslim          & NULL/s \\
5926       & musmanno        & 's/NULL \\
5927       & mussolini       & 's/NULL/s \\
5928       & mussorgsky      & 's/NULL \\
5929       & mustache        & NULL/d/s \\
5930       & mustang         & NULL/s \\
5931       & muster          & NULL/ed/ing \\
5932       & mute            & NULL/d/ly \\
5933       & mutilat         & ed/ion \\
5934       & mutin           & ies/y \\
5935       & mutter          & NULL/ed/ers/ing/s \\
5936       & muttere         & d/rs \\
5937       & mutual          & NULL/ity/ly \\
5938       & muzzle          & NULL/s \\
5939       & myopi           & a/c \\
5940       & myra            & 's/NULL \\
5941       & mysterious      & NULL/ly \\
5942       & mysticism       & NULL/s \\
5943       & myth            & NULL/ic/s \\
5944       & nadine          & 's/NULL \\
5945       & nagg            & ed/ing \\
5946       & nagrin          & 's/NULL \\
5947       & nail            & NULL/ed/ing/s \\
5948       & naked           & NULL/ly/ness \\
5949       & namel           & ess/y \\
5950       & napkin          & NULL/s \\
5951       & napp            & ed/ing \\
5952       & narco           & sis/tic \\
5953       & narcotic        & NULL/s \\
5954       & narrati         & on/ve/ves \\
5955       & narrative       & NULL/s \\
5956       & narrowe         & d/r \\
5957       & nasal           & NULL/ed \\
5958       & nassau          & 's/NULL \\
5959       & nasser          & 's/NULL \\
5960       & nastie          & r/st \\
5961       & natal           & NULL/ie \\
5962       & nate            & 's/NULL \\
5963       & nation-state    & NULL/s \\
5964       & nationalism     & NULL/s \\
5965       & nationalist     & NULL/ic/s \\
5966       & nationaliz      & e/ed/ing \\
5967       & nationalize     & NULL/d \\
5968       & nations         & '/NULL \\
5969       & native          & NULL/s \\
5970       & naturalis       & m/t/tic \\
5971       & naturalist      & NULL/ic \\
5972       & nature          & 's/NULL/s \\
5973       & nausea          & NULL/ted \\
5974       & navel           & NULL/s \\
5975       & navigati        & ng/on \\
5976       & navigator       & NULL/s \\
5977       & navy            & 's/NULL \\
5978       & nawt            & NULL/h \\
5979       & nazi            & NULL/s \\
5980       & neare           & d/r/st \\
5981       & nearsighted     & NULL/ly \\
5982       & nebula          & NULL/r \\
5983       & necessitat      & e/ed/es/ing \\
5984       & necessitate     & NULL/d/s \\
5985       & necklace        & NULL/s \\
5986       & necro           & sis/tic \\
5987       & needham         & 's/NULL \\
5988       & needles         & NULL/s \\
5989       & needless        & NULL/ly \\
5990       & negative        & NULL/ly \\
5991       & neglect         & NULL/ed/ing/s \\
5992       & negligen        & ce/t \\
5993       & negociant       & NULL/s \\
5994       & negotiat        & e/ed/ing/ion/ions \\
5995       & negotiate       & NULL/d \\
5996       & negotiati       & ng/on/ons \\
5997       & negotiation     & NULL/s \\
5998       & negroes         & '/NULL \\
5999       & nehru           & 's/NULL \\
6000       & neighborhood    & NULL/s \\
6001       & neighbors       & '/NULL \\
6002       & neil            & NULL/son \\
6003       & nell            & NULL/ie \\
6004       & neo-classicis   & m/ts \\
6005       & nephew          & NULL/s \\
6006       & nerve           & NULL/less/s \\
6007       & nervous         & NULL/ly/ness \\
6008       & neste           & d/r \\
6009       & nestl           & ed/ing \\
6010       & network         & 's/NULL/s/s' \\
6011       & networks        & '/NULL \\
6012       & neuron          & NULL/al \\
6013       & neuros          & es/is \\
6014       & neusteter       & NULL/s \\
6015       & neutralis       & m/t/ts \\
6016       & neutralist      & NULL/s \\
6017       & neutralize      & NULL/d \\
6018       & newark          & NULL/er \\
6019       & newbiggin       & 's/NULL \\
6020       & newcomer        & NULL/s \\
6021       & newlywed        & NULL/s \\
6022       & newport         & 's/NULL \\
6023       & newsletter      & NULL/s \\
6024       & newsm           & an/en \\
6025       & newspaperm      & an/en \\
6026       & newspapers      & '/NULL \\
6027       & newton          & 's/NULL/ian \\
6028       & nibble          & NULL/rs \\
6029       & nichols         & NULL/on \\
6030       & nickel          & NULL/s \\
6031       & nickname        & NULL/d/s \\
6032       & nicolas         & 's/NULL \\
6033       & niece           & NULL/s \\
6034       & niger           & NULL/ia \\
6035       & nightclub       & 's/NULL/s \\
6036       & nighte          & d/rs \\
6037       & nightingale     & NULL/s \\
6038       & nightmare       & NULL/s \\
6039       & nihilis         & m/t/tic \\
6040       & nihilist        & NULL/ic \\
6041       & nikolai         & NULL/s \\
6042       & nineteen        & NULL/th \\
6043       & nischwitz       & '/NULL \\
6044       & nitrate         & NULL/s \\
6045       & nixon           & 's/NULL \\
6046       & nobody'         & d/s \\
6047       & nodd            & ed/ing \\
6048       & nodul           & ar/es \\
6049       & noir            & NULL/e \\
6050       & noise           & NULL/less/s \\
6051       & noll            & NULL/e \\
6052       & nomia           & NULL/s \\
6053       & nominal         & NULL/ly \\
6054       & nominat         & e/ed/ing/ion \\
6055       & nominate        & NULL/d \\
6056       & nominati        & ng/on \\
6057       & non-catholic    & NULL/s \\
6058       & non-jew         & NULL/ish/s \\
6059       & non-violen      & ce/t/tly \\
6060       & non-violent     & NULL/ly \\
6061       & noncommittal    & NULL/ly \\
6062       & nonconformist   & NULL/s \\
6063       & nondescript     & NULL/ly \\
6064       & nonequivalen    & ce/t \\
6065       & nonspecific     & NULL/ally \\
6066       & normalize       & NULL/d \\
6067       & northeast       & NULL/ern \\
6068       & northerner      & NULL/s \\
6069       & northwest       & NULL/ern \\
6070       & nose            & NULL/s \\
6071       & nostalgi        & a/c \\
6072       & nostalgic       & NULL/ally \\
6073       & nostril         & NULL/s \\
6074       & notabl          & e/es/y \\
6075       & notable         & NULL/s \\
6076       & notch           & NULL/ed/es/ing \\
6077       & notche          & d/s \\
6078       & notebook        & NULL/s \\
6079       & nothin          & '/NULL/g/gs \\
6080       & notic           & e/ed/es/ing \\
6081       & noticeabl       & e/y \\
6082       & notif           & ied/y/ying \\
6083       & notify          & NULL/ing \\
6084       & notion          & NULL/s \\
6085       & notorious       & NULL/ly \\
6086       & nott            & NULL/e \\
6087       & noun            & NULL/s \\
6088       & nourishe        & d/s \\
6089       & nova            & NULL/k \\
6090       & novelist        & 's/NULL/s \\
6091       & novelt          & ies/y \\
6092       & nozzle          & NULL/s \\
6093       & nuance          & NULL/s \\
6094       & nude            & NULL/s \\
6095       & nudg            & e/ed/ing \\
6096       & nudge           & NULL/d \\
6097       & nudis           & m/t \\
6098       & nugent          & 's/NULL \\
6099       & nuisance        & NULL/s \\
6100       & nulli           & fied/fy/ty \\
6101       & nullifie        & d/rs \\
6102       & number          & NULL/ed/ing/s \\
6103       & numbing         & NULL/ly \\
6104       & numeral         & NULL/s \\
6105       & numerical       & NULL/ly \\
6106       & numerolog       & ical/y \\
6107       & nursery         & -/NULL \\
6108       & nurses          & '/NULL \\
6109       & nutrient        & NULL/s \\
6110       & nutritio        & n/us \\
6111       & nutrition       & NULL/al \\
6112       & nymph           & NULL/s \\
6113       & nymphomaniac    & NULL/s \\
6114       & o'banion        & 's/NULL \\
6115       & o'connor        & 's/NULL \\
6116       & o'donnell       & 's/NULL \\
6117       & o'dwyer         & NULL/s \\
6118       & oath            & NULL/e/s \\
6119       & oats            & 's/NULL \\
6120       & obedien         & ce/ces/t \\
6121       & obedience       & NULL/s \\
6122       & obey            & NULL/ed/ing/s \\
6123       & objector        & NULL/s \\
6124       & obligat         & ed/ion/ions \\
6125       & obligation      & NULL/al/s \\
6126       & oblige          & NULL/d \\
6127       & oblique         & NULL/ly \\
6128       & obliterat       & e/ed/ion \\
6129       & obliterate      & NULL/d \\
6130       & oblivio         & n/us \\
6131       & obscen          & e/ity \\
6132       & obscenit        & ies/y \\
6133       & obscurit        & ies/y \\
6134       & observan        & ce/ces/t \\
6135       & observance      & NULL/s \\
6136       & observat        & ion/ions/ory \\
6137       & observation     & NULL/al/s \\
6138       & observer        & 's/NULL/s \\
6139       & obsesse         & d/s \\
6140       & obsessi         & on/ons/ve \\
6141       & obsession       & NULL/s \\
6142       & obsolet         & e/ing \\
6143       & obstacle        & NULL/s \\
6144       & obstruct        & NULL/ed \\
6145       & obtaine         & NULL/d \\
6146       & obvious         & NULL/ly/ness \\
6147       & occasional      & NULL/ly \\
6148       & occident        & NULL/al \\
6149       & occlusi         & on/ve \\
6150       & occupanc        & ies/y \\
6151       & occupant        & NULL/s \\
6152       & occupie         & d/s \\
6153       & occupy          & NULL/ing \\
6154       & occurrence      & NULL/s \\
6155       & oceanograph     & ic/y \\
6156       & oceans          & NULL/ide \\
6157       & octave          & NULL/s \\
6158       & odor            & NULL/s \\
6159       & oersted         & 's/NULL \\
6160       & off-flavor      & NULL/s \\
6161       & offende         & d/r/rs \\
6162       & offender        & NULL/s \\
6163       & offense         & NULL/s \\
6164       & offensive       & NULL/ly/s \\
6165       & offer           & NULL/ed/ing/ings/s \\
6166       & offering        & NULL/s \\
6167       & officers        & '/NULL \\
6168       & officiat        & e/ed/ing \\
6169       & officiate       & NULL/d \\
6170       & often           & NULL/er \\
6171       & oile            & d/rs \\
6172       & oilseed         & NULL/s \\
6173       & old-time        & NULL/r/rs \\
6174       & old-timer       & NULL/s \\
6175       & oldenburg       & 's/NULL \\
6176       & oliver          & 's/NULL \\
6177       & olson           & 's/NULL \\
6178       & olympic         & NULL/s \\
6179       & ominous         & NULL/ly \\
6180       & omission        & NULL/s \\
6181       & omit            & NULL/s/ted/ting \\
6182       & omitt           & ed/ing \\
6183       & one-arm         & NULL/ed \\
6184       & onion           & NULL/s \\
6185       & onlooker        & NULL/s \\
6186       & onrush          & NULL/ing \\
6187       & onset           & NULL/s \\
6188       & onslaught       & NULL/s \\
6189       & ontario         & 's/NULL \\
6190       & ontological     & NULL/ly \\
6191       & onward          & NULL/s \\
6192       & ooze            & NULL/d \\
6193       & open-end        & NULL/ed \\
6194       & opene           & d/r \\
6195       & operand         & NULL/s \\
6196       & operate         & NULL/d/s \\
6197       & operation       & NULL/al/ally/s \\
6198       & operational     & NULL/ly \\
6199       & operator        & NULL/s \\
6200       & opponent        & 's/NULL/s \\
6201       & opportunis      & m/tic \\
6202       & opportunit      & ies/y \\
6203       & oppose          & NULL/d/s \\
6204       & opposit         & e/ion \\
6205       & oppressi        & on/ve \\
6206       & optical         & NULL/ly \\
6207       & optimal         & NULL/ity \\
6208       & optimis         & m/tic \\
6209       & option          & NULL/al/s \\
6210       & oracle          & NULL/s \\
6211       & oral            & NULL/ly \\
6212       & orange          & NULL/s \\
6213       & oratio          & NULL/n/ns \\
6214       & oration         & NULL/s \\
6215       & orchard         & NULL/s \\
6216       & orchestration   & NULL/s \\
6217       & ordain          & NULL/ed \\
6218       & ordering        & NULL/s \\
6219       & ordinance       & NULL/s \\
6220       & ordinar         & ily/y \\
6221       & ordinary        & 's/NULL \\
6222       & oregon          & NULL/ians \\
6223       & organic         & NULL/ally \\
6224       & organism        & NULL/ic/s \\
6225       & organiz         & e/ed/ers/es/ing \\
6226       & organization    & 's/NULL/al/ally/s \\
6227       & organizational  & NULL/ly \\
6228       & organize        & NULL/d/rs/s \\
6229       & orgasm          & NULL/s \\
6230       & orientation     & NULL/s \\
6231       & original        & NULL/ity/ly/s \\
6232       & originat        & e/ed/es/ing/ion \\
6233       & originate       & NULL/d/s \\
6234       & originati       & ng/on \\
6235       & oriole          & NULL/s/s' \\
6236       & orioles         & '/NULL \\
6237       & orleans         & '/NULL \\
6238       & orlick          & 's/NULL \\
6239       & ornament        & NULL/ed/s \\
6240       & ornate          & NULL/ly \\
6241       & ortega          & 's/NULL \\
6242       & orthodontic     & NULL/s \\
6243       & orthodontist    & 's/NULL/s \\
6244       & orthodox        & NULL/y \\
6245       & orthographi     & c/es \\
6246       & orthophosphate  & NULL/s \\
6247       & orvil           & NULL/le \\
6248       & orwell          & 's/NULL/ian \\
6249       & oscillati       & ng/on \\
6250       & ostensibl       & e/y \\
6251       & others          & '/NULL \\
6252       & othon           & 's/NULL \\
6253       & otto            & NULL/man \\
6254       & ought           & NULL/a \\
6255       & ounce           & NULL/s \\
6256       & ouste           & d/r \\
6257       & out-of-door     & NULL/s \\
6258       & outboard        & NULL/s \\
6259       & outbreak        & NULL/s \\
6260       & outburst        & NULL/s \\
6261       & outcast         & NULL/s \\
6262       & outclass        & NULL/ed \\
6263       & outcome         & NULL/s \\
6264       & outdistanc      & ed/ing \\
6265       & outdoor         & NULL/s \\
6266       & outfield        & NULL/er/ers \\
6267       & outfielder      & NULL/s \\
6268       & outfit          & NULL/ted \\
6269       & outgrow         & NULL/th \\
6270       & outlay          & NULL/s \\
6271       & outlet          & NULL/s \\
6272       & outlin          & e/ed/es/ing \\
6273       & outline         & NULL/d/s \\
6274       & outnumber       & NULL/ed \\
6275       & outpost         & NULL/s \\
6276       & output          & NULL/s/ting \\
6277       & outrigger       & NULL/s \\
6278       & outside         & NULL/r/rs \\
6279       & outsider        & NULL/s \\
6280       & outskirt        & 's/s \\
6281       & outstanding     & NULL/ly \\
6282       & outward         & NULL/ly \\
6283       & outweigh        & NULL/ed \\
6284       & oval            & NULL/s \\
6285       & oven            & NULL/s \\
6286       & over-emphasize  & NULL/d \\
6287       & overall         & NULL/s \\
6288       & overburden      & NULL/ed \\
6289       & overcoat        & NULL/s \\
6290       & overcom         & e/es/ing \\
6291       & overcome        & NULL/s \\
6292       & overcrowd       & ed/ing \\
6293       & overeat         & NULL/ing \\
6294       & overestimat     & ed/es/ion \\
6295       & overestimate    & d/s \\
6296       & overflow        & NULL/ed/ing \\
6297       & overhang        & NULL/s \\
6298       & overhaul        & NULL/ing \\
6299       & overheat        & NULL/ed/ing \\
6300       & overl           & and/y \\
6301       & overlap         & NULL/ped/ping/s \\
6302       & overlapp        & ed/ing \\
6303       & overload        & NULL/ed \\
6304       & overlook        & NULL/ed/ing/s \\
6305       & overly          & NULL/ing \\
6306       & overnight       & NULL/ers \\
6307       & overpopulat     & ed/ion \\
6308       & overpower       & ed/ing/s \\
6309       & overprotecti    & on/ve \\
6310       & overreach       & NULL/ed/es \\
6311       & overreache      & d/s \\
6312       & overrid         & e/ing \\
6313       & overshadow      & NULL/ed \\
6314       & oversize        & NULL/d \\
6315       & oversoft        & NULL/ness \\
6316       & overtake        & NULL/n \\
6317       & overthrow       & NULL/n \\
6318       & overture        & NULL/s \\
6319       & overturn        & ed/ing \\
6320       & overwhelm       & NULL/ed/ing \\
6321       & overwhelming    & NULL/ly \\
6322       & owen            & NULL/s \\
6323       & ownership       & NULL/s \\
6324       & oxen            & 's/NULL \\
6325       & oxford          & 's/NULL \\
6326       & oxide           & NULL/s \\
6327       & oxygen          & NULL/s \\
6328       & oyster          & NULL/s \\
6329       & ozagen          & NULL/ians \\
6330       & ozon            & NULL/e \\
6331       & pacer           & NULL/s \\
6332       & pacifie         & r/s \\
6333       & pacifis         & m/t/tic \\
6334       & pacifist        & NULL/ic \\
6335       & packag          & e/ed/es/ing \\
6336       & package         & NULL/d/s \\
6337       & packard         & NULL/s \\
6338       & packet          & NULL/s \\
6339       & pact            & NULL/a \\
6340       & paddi           & es/ng \\
6341       & padlock         & NULL/ed \\
6342       & paean           & NULL/s \\
6343       & pageant         & NULL/ry/s \\
6344       & pagnol          & 's/NULL \\
6345       & pagoda          & NULL/s \\
6346       & paid            & NULL/e \\
6347       & pail            & NULL/s \\
6348       & paine           & NULL/d \\
6349       & painful         & NULL/ly \\
6350       & painless        & NULL/ly \\
6351       & painstaking     & NULL/ly \\
6352       & painte          & d/r/r's/rs \\
6353       & painter         & 's/NULL/s \\
6354       & painting        & NULL/s \\
6355       & pair            & NULL/ed/s \\
6356       & pajama          & NULL/s \\
6357       & pakistani       & NULL/s \\
6358       & palace          & 's/NULL/s \\
6359       & palate          & NULL/s \\
6360       & palazz          & i/o \\
6361       & palazzo         & NULL/s \\
6362       & pales           & NULL/t \\
6363       & palfrey         & 's/NULL \\
6364       & palladi         & an/o \\
6365       & palme           & d/r/r's \\
6366       & palmer          & 's/NULL \\
6367       & palpabl         & e/y \\
6368       & pals            & NULL/y \\
6369       & pamela          & 's/NULL \\
6370       & pamper          & NULL/ed \\
6371       & pamphlet        & NULL/s \\
6372       & pandora         & 's/NULL \\
6373       & panick          & ed/y \\
6374       & panorama        & NULL/s \\
6375       & pantheon        & 's/NULL \\
6376       & panther         & NULL/s \\
6377       & panti           & es/ng \\
6378       & pantomime       & NULL/d \\
6379       & paperback       & NULL/s \\
6380       & parable         & NULL/s \\
6381       & parachute       & NULL/s \\
6382       & parad           & e/ed/es/ing \\
6383       & parade          & NULL/d/s \\
6384       & paradigm        & NULL/atic/s \\
6385       & paradoxical     & NULL/ly \\
6386       & paragraph       & NULL/ing/s \\
6387       & paralyze        & NULL/d/s \\
6388       & paramagnet      & NULL/ic \\
6389       & paramet         & er/ric \\
6390       & parameter       & NULL/s \\
6391       & parapet         & NULL/s \\
6392       & paraphras       & e/es/ing \\
6393       & paraphrase      & NULL/s \\
6394       & parasit         & e/es/ic \\
6395       & parasite        & NULL/s \\
6396       & parasol         & NULL/s \\
6397       & parcel          & NULL/ed/s \\
6398       & parch           & ed/ment \\
6399       & parents         & '/NULL \\
6400       & parish          & NULL/es \\
6401       & parke           & d/r/r's \\
6402       & parker          & 's/NULL \\
6403       & parki           & ng/sh \\
6404       & parliament      & NULL/ary/s \\
6405       & parlor          & NULL/s \\
6406       & parod           & ied/ies/y \\
6407       & parodie         & d/s \\
6408       & parole          & NULL/es \\
6409       & parri           & ed/s \\
6410       & parrot          & NULL/ing/s \\
6411       & parry           & 's/NULL \\
6412       & parson          & NULL/age/s \\
6413       & partake         & NULL/r/s \\
6414       & partial         & NULL/ly \\
6415       & partic          & le/les/ular \\
6416       & participant     & NULL/s \\
6417       & participat      & e/ed/es/ing/ion \\
6418       & participate     & NULL/d/s \\
6419       & participati     & ng/on \\
6420       & particle        & NULL/s \\
6421       & particular      & NULL/ity/ly/s \\
6422       & parting         & NULL/s \\
6423       & partisan        & NULL/s \\
6424       & partition       & NULL/s \\
6425       & partlow         & 's/NULL \\
6426       & partners        & NULL/hip \\
6427       & party           & 's/NULL \\
6428       & pasadena        & 's/NULL \\
6429       & paschal         & NULL/l \\
6430       & passe           & d/s \\
6431       & passenger       & NULL/s \\
6432       & passionate      & NULL/ly \\
6433       & passiv          & e/ely/ity \\
6434       & passive         & NULL/ly/ness \\
6435       & pastel          & NULL/s \\
6436       & pastern         & NULL/s \\
6437       & pastime         & NULL/s \\
6438       & pastors         & '/NULL \\
6439       & pasture         & NULL/s \\
6440       & patchen         & 's/NULL \\
6441       & patente         & d/es \\
6442       & pater           & NULL/son \\
6443       & paternalis      & m/tic \\
6444       & pathet          & NULL/ic \\
6445       & pathologic      & NULL/al \\
6446       & patina          & NULL/s \\
6447       & patricia        & NULL/n \\
6448       & patrick         & 's/NULL \\
6449       & patrioti        & c/sm \\
6450       & patroll         & ed/ing \\
6451       & patrolm         & an/an's/en \\
6452       & patrolman       & 's/NULL \\
6453       & patroniz        & e/ed/ing \\
6454       & patronize       & NULL/d \\
6455       & patronne        & 's/NULL \\
6456       & pattern         & NULL/ed/s \\
6457       & pauling         & 's/NULL \\
6458       & paunch          & NULL/y \\
6459       & pause           & NULL/d/s \\
6460       & pavement        & NULL/s \\
6461       & pavilion        & NULL/s \\
6462       & pawtucket       & 's/NULL \\
6463       & payment         & NULL/s \\
6464       & payne           & 's/NULL/s \\
6465       & pays            & NULL/on \\
6466       & peabody         & 's/NULL \\
6467       & peac            & e/h \\
6468       & peaceful        & NULL/ly \\
6469       & peach           & NULL/es \\
6470       & peacock         & NULL/s \\
6471       & peak            & NULL/ed/s/y \\
6472       & peale           & 's/NULL \\
6473       & peanut          & NULL/s \\
6474       & pearl           & NULL/s/y \\
6475       & pears           & NULL/on \\
6476       & pebble          & NULL/s \\
6477       & pecan           & NULL/s \\
6478       & peck            & NULL/ed/s \\
6479       & peculiar        & NULL/ity/ly \\
6480       & peculiarit      & ies/y \\
6481       & pedal           & NULL/s \\
6482       & peddle          & NULL/d/r/rs \\
6483       & peddler         & NULL/s \\
6484       & pedersen        & 's/NULL \\
6485       & pedestrian      & NULL/s \\
6486       & pedigree        & NULL/d \\
6487       & peek            & ed/ing \\
6488       & peel            & NULL/ed/ing/s \\
6489       & peer            & NULL/ed/ing/less/s \\
6490       & pegboard        & NULL/s \\
6491       & peggin          & '/g \\
6492       & penalt          & ies/y \\
6493       & pencil          & NULL/ed/s \\
6494       & pendleton       & 's/NULL \\
6495       & penetrat        & e/ed/ing/ion \\
6496       & penetrate       & NULL/d \\
6497       & penetrati       & ng/on \\
6498       & pennant         & NULL/s \\
6499       & penny           & 's/NULL \\
6500       & pensi           & on/ons/ve \\
6501       & pentagon        & 's/NULL \\
6502       & peon            & ies/y \\
6503       & peoples         & '/NULL \\
6504       & pepper          & NULL/ed/y \\
6505       & peptide         & NULL/s \\
6506       & perceiv         & e/ed/es/ing \\
6507       & perceive        & NULL/d/s \\
6508       & percentage      & NULL/s \\
6509       & perception      & NULL/s \\
6510       & percussi        & on/ve \\
6511       & perennia        & l/n \\
6512       & perennial       & NULL/ly \\
6513       & perfecti        & ng/on \\
6514       & perfectionis    & m/ts \\
6515       & performance     & NULL/s \\
6516       & performe        & d/r/rs \\
6517       & performer       & NULL/s \\
6518       & perfunctor      & ily/y \\
6519       & perier          & 's/NULL \\
6520       & peril           & NULL/ous/s \\
6521       & perilous        & NULL/ly \\
6522       & periodical      & NULL/ly/s \\
6523       & peripheral      & NULL/ly \\
6524       & perishe         & d/s \\
6525       & permanen        & ce/t/tly \\
6526       & permanent       & NULL/ly \\
6527       & permeate        & NULL/d/s \\
6528       & permit          & NULL/s/ted/ting \\
6529       & permitt         & ed/ing \\
6530       & perpendicular   & NULL/ly \\
6531       & perpetual       & NULL/ly \\
6532       & perpetuat       & e/ed/ing/ion \\
6533       & perpetuate      & NULL/d \\
6534       & perpetuati      & ng/on \\
6535       & perrin          & 's/NULL \\
6536       & persevere       & NULL/s \\
6537       & persia          & NULL/n/ns \\
6538       & persian         & NULL/s \\
6539       & persisten       & ce/t/tly \\
6540       & persistent      & NULL/ly \\
6541       & personage       & NULL/s \\
6542       & personal        & NULL/ity/ized/ly \\
6543       & personalit      & ies/y \\
6544       & personifie      & d/s \\
6545       & perspective     & NULL/s \\
6546       & perspir         & ed/ing \\
6547       & persuad         & e/ed/ers/ing \\
6548       & persuade        & NULL/d/rs \\
6549       & persuasi        & on/ons/ve/vely \\
6550       & persuasion      & NULL/s \\
6551       & persuasive      & NULL/ly \\
6552       & pertain         & NULL/ed/ing/s \\
6553       & pertinen        & ce/t \\
6554       & perturbation    & NULL/s \\
6555       & pervad          & ed/es/ing \\
6556       & pervade         & d/s \\
6557       & pervasive       & NULL/ly \\
6558       & perverse        & NULL/ly \\
6559       & pessimist       & ic/s \\
6560       & pester          & NULL/ing \\
6561       & petitione       & d/r/r's \\
6562       & petitioner      & 's/NULL \\
6563       & petti           & ng/t \\
6564       & pettigrew       & 's/NULL \\
6565       & pettin          & ess/g \\
6566       & pettiness       & NULL/es \\
6567       & petulan         & ce/t \\
6568       & phase           & NULL/s \\
6569       & pheasant        & NULL/s \\
6570       & phenomena       & NULL/l \\
6571       & philadelphia    & 's/NULL \\
6572       & philip          & 's/NULL \\
6573       & philippine      & NULL/s \\
6574       & phill           & ies/y \\
6575       & phillip         & NULL/s \\
6576       & philologi       & cal/sts \\
6577       & philosopher     & NULL/s \\
6578       & philosophic     & NULL/al/ally \\
6579       & philosophical   & NULL/ly \\
6580       & philosophiz     & ed/ing \\
6581       & phonemic        & NULL/s \\
6582       & phonetic        & NULL/s \\
6583       & phoni           & c/es \\
6584       & phonograph      & NULL/s \\
6585       & phonolog        & ic/y \\
6586       & phosphate       & NULL/s \\
6587       & photo           & NULL/s \\
6588       & photocathode    & NULL/s \\
6589       & photoelectron   & ic/s \\
6590       & photographe     & d/r/rs \\
6591       & photographer    & NULL/s \\
6592       & photographic    & NULL/ally \\
6593       & photomicrograph & NULL/y \\
6594       & phouma          & 's/NULL \\
6595       & phrase          & NULL/d/s \\
6596       & phrasing        & NULL/s \\
6597       & physical        & NULL/ly/ness \\
6598       & physician       & 's/NULL/s \\
6599       & physicist       & NULL/s \\
6600       & physiologic     & NULL/al/ally \\
6601       & physiological   & NULL/ly \\
6602       & piano           & NULL/s \\
6603       & piazza          & NULL/s \\
6604       & picasso         & 's/NULL \\
6605       & picker          & NULL/ing/s \\
6606       & pickin          & g/s \\
6607       & pickle          & NULL/d/s \\
6608       & pickoff         & NULL/s \\
6609       & picnicke        & d/rs \\
6610       & pictorial       & NULL/ly \\
6611       & pictur          & e/ed/es/ing \\
6612       & picture         & NULL/d/s \\
6613       & piepsam         & 's/NULL \\
6614       & pierc           & e/ed/ing \\
6615       & pierce          & NULL/d \\
6616       & pietro          & 's/NULL \\
6617       & piezoelectric   & NULL/ity \\
6618       & pigeon          & NULL/s \\
6619       & pigment         & NULL/ed/s \\
6620       & pike            & 's/NULL \\
6621       & pilate          & 's/NULL \\
6622       & pile            & NULL/d/s \\
6623       & pilgrimage      & NULL/s \\
6624       & pillage         & NULL/d \\
6625       & pillar          & NULL/ed/s \\
6626       & pillow          & NULL/s \\
6627       & pilots          & '/NULL \\
6628       & pimen           & 's/NULL \\
6629       & pimple          & d/s \\
6630       & pinch           & NULL/ed/ing \\
6631       & pinch-hitter    & NULL/s \\
6632       & pine            & NULL/s \\
6633       & pinnacle        & NULL/s \\
6634       & pinning         & NULL/s \\
6635       & pinpoint        & NULL/ing/s \\
6636       & pins            & NULL/k \\
